id,name,address,latitude,longitude,website,rating,user_ratings,summary,types,opening_hours,phone
ChIJ3assUnhFrjsRx4a-FqvNnOk,Primary Health Centre - M G Palya,"mg palya, P9HQ+J22, Ramnagar, Karnataka 562109, India",12.7290172,77.3875294,,4.8,4,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJZdyfKEZFrjsRGqzWvIJEUwE,Hospital,"M9XX+93F, Gollahalli, Karnataka 562109, India",12.6984458,77.3976667,,2.5,2,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJObNFBSZFrjsR_YKpm4B8FEE,"Govt. Hospital Gollahalli, Karnataka 562112","Gollahalli, Karnataka 562112, India",12.6897709,77.3984704,,,0,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJrf4msoVFrjsRyHhh06mA_RM,Govt Hospital Maruthipuara,"P9RP+3GV namadhari seed, Ramanagara, Karnataka 562109, India",12.7402419,77.3862906,,,0,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJXewNRXhFrjsRz3bUaSJpCaQ,ಸರ್ಕಾರಿ ಆಸ್ಪತ್ರೆ,"P9HQ+R45, Chikkakuntanahalli, Karnataka 562109, India",12.729513,77.3878459,,,0,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJAQAAAEtFrjsRyC_wYwnQokk,Pramary Health Centre Dombaradoddi,"M9QX+W95, Gollahalli, Karnataka 562112, India",12.6897709,77.3984704,,5,1,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJe07wfDZbrjsResbyGs7BDcM,Panchamukhi Pharma,"I phase, Plot No 94 & 97, KIADB Industrial Area, Harohalli, Bengaluru, Karnataka 562112, India",12.683645,77.4431043,,4.7,3,,"hospital, health, point_of_interest, establishment",Opening hours not available,094481 40238
ChIJ60McUQBbrjsRAVYwhvH-pyo,Sanjeevini Clinic & Diagnostics,"Tq, MFM8+2PH, Bidadi Main Road, Harohalli, Kanakapura, Karnataka 562112, India",12.6825625,77.4668125,,4.5,33,,"hospital, health, point_of_interest, establishment",Open now,
ChIJZctG2TtbrjsRp-6bU7UWkMs,Manasa Multy Speciality Hospital HAROHALLI,"MFG6+HP6, Ramanagara, Karnataka 562112, India",12.676421,77.461767,,4.8,5,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJTXIbfldbrjsRJibWhoavL_0,Dr Praneshayush life care centre poly clinic,"MFH8+HRR, Harohalli, Karnataka 562112, India",12.6789862,77.4670243,,3.2,5,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJa7v5tOJbrjsRzbxjTfXXfbo,"Dr. Jeevankumar Murali, Treated 4K+ Patients | Best General Physician | General Physician Near Me | Best Diabetes Doctor","CDSIMER Harohalli Deverakaggalahalli, KanakapuraRoad, Dt, Ramanagara, Karnataka 562112, India",12.661,77.4472,https://www.apollo247.com/doctors/dr-Jeevankumar-Murali-81817f14-b0ec-4b6e-bb0d-464fcaee5ac9,,0,,"hospital, doctor, health, point_of_interest, establishment",Open now,080 4696 1837
ChIJKQDvAwBbrjsRt6MvcVYerj8,CDSIMER HOSPITAL,"MC6X+6RP, Kanakapura Main Rd, Kanakapura, Karnataka 562112, India",12.6605254,77.4495635,,3.7,23,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJK5GY0atcrjsRBhYeMpwN2ZI,Community Health Centre - Harohalli,"Kanakapura Main Rd, Harohalli, Karnataka 562112, India",12.6854668,77.4734959,,3.6,23,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJHYaMCEBdrjsRSOntBfluJ8Y,Goduru & chikkannanavalase Bus Stop,"goduru harohalli to anekal mian rodu, kanakapura, Harohalli, Karnataka 562112, India",12.6815831,77.4731876,,4,2,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJF9K-eQBbrjsRQzgbgUqlwvw,P block (psychiatry block),"MC5X+QJ3, Bannikuppe, Karnataka 562112, India",12.6595632,77.4490959,,,0,,"hospital, health, point_of_interest, establishment",Opening hours not available,
ChIJHZFfg7xbrjsRh99_zd8mNQo,Sri Sai Sanjeevini Poly Clinic,"beside Med plus, near RHS School, beside Med plus, Harohalli, Karnataka 562112, India",12.6818742,77.4699008,https://book-appointment.healthplix.com/dr-basavaraj-family-physician--harohalli-bangalore,5,7,,"hospital, health, point_of_interest, establishment",Open now,
ChIJG5V_7R5drjsRgGlBiJSm0TM,SURYODAYA HEALTH CENTRE AND DIAGNOSTICS WITH MEDICAL & GENERAL STORES,"KOTE BEEDI, near MASJID, Harohalli, Kanakapura, Karnataka 562112, India",12.6800063,77.4718461,,5,1,,"hospital, health, point_of_interest, establishment",Open now,
